name,section,lat,lng
鈴成湯,1,35.04707476,135.7863709
大黒湯,1,35.04896313,135.7894502
雲母湯,1,35.04588418,135.7942534
新地湯,2,34.92749157,135.7598695
寿湯,2,34.92764826,135.7656177
観月湯,2,34.92520902,135.7741721
鞍馬湯,2,34.93688358,135.7561453
東山湯,3,35.02929056,135.7785449
銀座湯,3,35.02061336,135.7799683
平安湯,3,35.02111325,135.7825629
しののめ湯,4,35.0331688,135.7801915
養生浴場,4,35.03265147,135.7753756
栄盛湯,5,35.04204033,135.7713221
鴨川湯,5,35.04377782,135.7645513
むらさき湯,6,35.04035593,135.752138
門前温泉,6,35.04277171,135.7486197
船岡温泉,6,35.03707467,135.7445436
白山湯,7,34.99951709,135.7544514
五香湯,7,34.99696806,135.7498302
梅湯,7,34.99295774,135.7657116